region;settlement;latitude;longitude;fullWarehouseName
Ставропольский край;Ставрополь;45.0444444444444;41.9691666666667;Ставропольский край, г. Ставрополь
Республика Татарстан;Казань;55.7986111111111;49.1063888888889;Республика Татарстан, г. Казань
Севастополь;Севастополь;44.616666666666696;33.5255555555556;Севастополь, г. Севастополь
Кемеровская область;Кемерово;55.3541666666667;86.08972222222219;Кемеровская область, г. Кемерово
Челябинская область;Челябинск;55.15972222222221;61.4025;Челябинская область, г. Челябинск
Республика Алтай;Горно-Алтайск;51.9580555555556;85.9602777777778;Республика Алтай, г. Горно-Алтайск
Кировская область;Киров;58.6036111111111;49.663888888888906;Кировская область, г. Киров
Республика Башкортостан;Стерлитамак;53.6302777777778;55.9316666666667;Республика Башкортостан, г. Стерлитамак
Камчатский край;Петропавловск-Камчатский;53.0369444444444;158.655833333333;Камчатский край, г. Петропавловск-Камчатский
Чукотский автономный округ;Анадырь;64.7347222222222;177.514722222222;Чукотский автономный округ, г. Анадырь
Алтайский край;Барнаул;53.348055555555604;83.78;Алтайский край, г. Барнаул
Волгоградская область;Волгоград;48.7105555555556;44.5166666666667;Волгоградская область, г. Волгоград
Самарская область;Самара;53.1955555555556;50.101666666666695;Самарская область, г. Самара
Республика Ингушетия;Назрань;43.2255555555556;44.7711111111111;Республика Ингушетия, г. Назрань
Брянская область;Брянск;53.242777777777796;34.366666666666696;Брянская область, г. Брянск
Магаданская область;Магадан;59.5605555555556;150.798888888889;Магаданская область, г. Магадан
Москва;Москва;55.7538888888889;37.620277777777794;Москва, г. Москва
